20150601 024000;1.095410;1.095410;1.095120;1.095210;0
20150601 024100;1.095200;1.095200;1.094510;1.094650;0
20150601 024200;1.094640;1.094720;1.094460;1.094550;0
20150601 024300;1.094600;1.094660;1.094520;1.094580;0
20150601 024400;1.094630;1.094770;1.094330;1.094710;0
20150601 024500;1.094710;1.094860;1.094530;1.094820;0
20150601 024600;1.094830;1.095090;1.094820;1.094820;0
20150601 024700;1.094810;1.094870;1.094710;1.094750;0
20150601 024800;1.094740;1.094750;1.094550;1.094550;0
20150601 024900;1.094540;1.094610;1.094530;1.094550;0
20150601 025000;1.094540;1.094540;1.093910;1.094250;0
20150601 025100;1.094210;1.094480;1.094170;1.094480;0
20150601 025200;1.094490;1.094560;1.094290;1.094440;0
20150601 025300;1.094440;1.094600;1.094120;1.094130;0
20150601 025400;1.094120;1.094220;1.093930;1.093930;0
20150601 025500;1.093930;1.094150;1.093900;1.094120;0
20150601 025600;1.094120;1.094230;1.093520;1.093530;0
20150601 025700;1.093520;1.093860;1.093440;1.093860;0
20150601 025800;1.093900;1.093900;1.093750;1.093760;0
20150601 025900;1.093760;1.094070;1.093710;1.093810;0
20150601 030000;1.093740;1.094740;1.093730;1.094740;0
20150601 030100;1.094690;1.095140;1.094650;1.095040;0
20150601 030200;1.095030;1.095350;1.094920;1.095190;0
20150601 030300;1.095200;1.095200;1.094820;1.094820;0
20150601 030400;1.094830;1.094880;1.094620;1.094880;0
20150601 030500;1.094890;1.094950;1.094660;1.094750;0
20150601 030600;1.094750;1.094800;1.094480;1.094610;0
20150601 030700;1.094610;1.094720;1.094510;1.094510;0
20150601 030800;1.094520;1.094770;1.094510;1.094630;0
20150601 030900;1.094640;1.094640;1.094430;1.094490;0
20150601 031000;1.094480;1.094480;1.093760;1.093770;0
20150601 031100;1.093770;1.094110;1.093520;1.094100;0
20150601 031200;1.094110;1.094320;1.094010;1.094190;0
20150601 031300;1.094170;1.094310;1.094120;1.094160;0
20150601 031400;1.094120;1.094120;1.093640;1.093770;0
20150601 031500;1.093760;1.093810;1.093100;1.093550;0
20150601 031600;1.093510;1.093530;1.093120;1.093240;0
20150601 031700;1.093230;1.093470;1.093130;1.093410;0
20150601 031800;1.093400;1.093400;1.092790;1.093060;0
20150601 031900;1.093060;1.093270;1.093020;1.093060;0
20150601 032000;1.093050;1.093260;1.092860;1.092900;0
20150601 032100;1.092890;1.093270;1.092840;1.093180;0
20150601 032200;1.093170;1.093170;1.091640;1.091920;0
20150601 032300;1.091910;1.091910;1.091130;1.091530;0
20150601 032400;1.091540;1.091970;1.091540;1.091920;0
20150601 032500;1.091930;1.091940;1.091610;1.091920;0
20150601 032600;1.091930;1.092220;1.091830;1.092140;0
20150601 032700;1.092180;1.092340;1.091770;1.091770;0
20150601 032800;1.091760;1.091760;1.091190;1.091340;0
20150601 032900;1.091340;1.091730;1.091150;1.091680;0
20150601 033000;1.091450;1.091650;1.090910;1.091440;0
20150601 033100;1.091450;1.091590;1.091140;1.091570;0
20150601 033200;1.091560;1.091670;1.091170;1.091360;0
20150601 033300;1.091360;1.091490;1.091050;1.091270;0
20150601 033400;1.091250;1.091360;1.091220;1.091300;0
20150601 033500;1.091270;1.091640;1.091220;1.091600;0
20150601 033600;1.091560;1.091670;1.091370;1.091560;0
20150601 033700;1.091560;1.091660;1.091140;1.091240;0
20150601 033800;1.091230;1.091380;1.090820;1.090870;0
20150601 033900;1.090830;1.091150;1.090700;1.090720;0
20150601 034000;1.090710;1.091080;1.090660;1.091020;0
20150601 034100;1.091040;1.091120;1.090720;1.090720;0
20150601 034200;1.090720;1.091170;1.090720;1.091030;0
20150601 034300;1.091020;1.091330;1.091000;1.091230;0
20150601 034400;1.091220;1.091440;1.091130;1.091440;0
20150601 034500;1.091420;1.091490;1.090930;1.090950;0
20150601 034600;1.090950;1.091130;1.090810;1.090860;0
20150601 034700;1.090890;1.091170;1.090850;1.091170;0
20150601 034800;1.091180;1.091500;1.091120;1.091120;0
20150601 034900;1.091120;1.091210;1.091050;1.091090;0
20150601 035000;1.091090;1.091330;1.091060;1.091240;0
20150601 035100;1.091240;1.091360;1.091140;1.091220;0
20150601 035200;1.091210;1.091590;1.091190;1.091440;0
20150601 035300;1.091440;1.091440;1.090830;1.091060;0
20150601 035400;1.091050;1.091050;1.090920;1.091020;0
20150601 035500;1.090770;1.090950;1.090640;1.090720;0
20150601 035600;1.090730;1.090780;1.090470;1.090570;0
20150601 035700;1.090570;1.090650;1.090420;1.090550;0
20150601 035800;1.090550;1.090780;1.090460;1.090630;0
20150601 035900;1.090630;1.090760;1.090490;1.090640;0
20150601 040000;1.090640;1.090740;1.090520;1.090560;0
20150601 040100;1.090560;1.090750;1.090560;1.090660;0
20150601 040200;1.090670;1.091030;1.090670;1.090920;0
20150601 040300;1.090910;1.091180;1.090900;1.091180;0
20150601 040400;1.091160;1.091170;1.090900;1.091030;0
20150601 040500;1.091040;1.091430;1.090960;1.091430;0
20150601 040600;1.091430;1.091890;1.091430;1.091770;0
20150601 040700;1.091760;1.091930;1.091630;1.091790;0
20150601 040800;1.091790;1.092070;1.091780;1.091870;0
20150601 040900;1.091870;1.091870;1.091540;1.091540;0
20150601 041000;1.091540;1.091540;1.091350;1.091390;0
20150601 041100;1.091380;1.091940;1.091350;1.091940;0
20150601 041200;1.091950;1.091990;1.091610;1.091620;0
20150601 041300;1.091610;1.091610;1.091400;1.091610;0
